model,seed,precision,recall,f1_score,mAP@0.5,mAP@0.5:0.95,AP75,AP_Agglomeration,AP_Bubble,AP_Crack,AP_Scratch,params_M,flops_G,fps
model6_c3k2_eac,789,89.0,87.8,88.4,89.8,58.2,62.9,89.4,87.5,89.0,94.1,2.77,6.8,97
model6_c3k2_eac,2024,88.8,87.8,88.3,90.3,58.3,62.8,89.1,87.8,89.3,94.2,2.77,6.8,97
model7_c3k2_bifpn,42,89.4,87.9,88.6,90.7,58.7,63.6,89.6,88.0,89.4,94.2,3.04,7.4,92
model7_c3k2_bifpn,123,89.4,88.0,88.7,90.4,58.6,63.4,89.7,87.9,89.5,94.6,3.04,7.4,92
model7_c3k2_bifpn,456,89.2,88.0,88.6,90.5,58.9,63.6,89.9,88.3,89.7,94.3,3.04,7.4,92
model7_c3k2_bifpn,789,89.5,88.0,88.8,90.4,58.7,63.4,90.0,88.2,89.6,94.6,3.04,7.4,92
model7_c3k2_bifpn,2024,89.3,88.0,88.6,90.9,58.8,63.3,89.7,88.5,89.9,94.7,3.04,7.4,92
model8_eac_bifpn,42,90.6,89.0,89.8,91.3,59.8,64.6,90.3,88.8,90.3,94.7,2.97,7.2,93
model8_eac_bifpn,123,90.6,89.1,89.8,91.0,59.7,64.4,90.4,88.7,90.4,95.1,2.97,7.2,93
model8_eac_bifpn,456,90.4,89.1,89.8,91.1,60.0,64.6,90.6,89.1,90.6,94.8,2.97,7.2,93
model8_eac_bifpn,789,90.7,89.1,89.9,91.0,59.8,64.4,90.7,89.0,90.5,95.1,2.97,7.2,93
model8_eac_bifpn,2024,90.5,89.1,89.8,91.5,59.9,64.3,90.4,89.3,90.8,95.2,2.97,7.2,93
model9_all_except_iou,42,91.0,89.8,90.4,91.9,60.5,65.1,90.8,89.3,91.0,95.2,3.09,7.5,90
model9_all_except_iou,123,91.0,89.9,90.4,91.6,60.4,64.9,90.9,89.2,91.1,95.6,3.09,7.5,90
model9_all_except_iou,456,90.8,89.9,90.4,91.7,60.7,65.1,91.1,89.6,91.3,95.3,3.09,7.5,90
model9_all_except_iou,789,91.1,89.9,90.5,91.6,60.5,64.9,91.2,89.5,91.2,95.6,3.09,7.5,90
model9_all_except_iou,2024,90.9,89.9,90.4,92.1,60.6,64.8,90.9,89.8,91.5,95.7,3.09,7.5,90
model10_full,42,91.4,90.4,90.9,92.5,61.2,68.6,91.6,89.3,92.9,94.9,3.09,7.5,90
model10_full,123,91.4,90.5,90.9,92.2,61.1,68.4,91.7,89.2,93.0,95.3,3.09,7.5,90
model10_full,456,91.2,90.5,90.9,92.3,61.4,68.6,91.9,89.6,93.2,95.0,3.09,7.5,90
model10_full,789,91.5,90.5,91.0,92.2,61.2,68.4,92.0,89.5,93.1,95.3,3.09,7.5,90
model10_full,2024,91.3,90.5,90.9,92.7,61.3,68.3,91.7,89.8,93.4,95.4,3.09,7.5,90
